geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
16000US1749191,"Milledgeville, IL",1103,184,1075,184,1036,188,5,7,0,12,0,12,0,12,0,12,34,51,0,12,34,51,28,21,7,8,0,12,0,12,0,12,0,12,1,2,20,19,5,10,15,20
16000US1749243,"Millersburg, IL",26,39,26,39,26,39,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1749308,"Millington, IL",656,141,626,145,617,140,9,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,30,35,27,35,0,12,0,12,0,12,0,12,2,3,1,5,1,5,0,12
16000US1749347,"Mill Shoals, IL",173,87,173,87,173,87,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1749386,"Millstadt, IL",4071,28,4008,69,3953,103,0,12,17,23,0,12,0,12,0,12,38,63,0,12,38,63,63,63,51,60,0,12,0,12,0,12,0,12,0,12,12,20,0,12,12,20
16000US1749477,"Milton, IL",242,80,233,73,224,68,0,12,7,9,0,12,0,12,0,12,2,5,0,12,2,5,9,11,9,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1749516,"Mineral, IL",213,54,213,54,208,54,5,7,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1749555,"Minier, IL",1105,188,1085,185,1052,173,1,2,0,12,0,12,0,12,0,12,32,46,0,12,32,46,20,18,6,9,0,12,4,6,0,12,0,12,2,3,8,13,8,13,0,12
16000US1749568,"Minonk, IL",2012,249,1987,256,1969,259,4,11,0,12,6,9,0,12,0,12,8,11,0,12,8,11,25,33,14,23,0,12,5,7,0,12,0,12,0,12,6,11,0,12,6,11
16000US1749607,"Minooka, IL",12412,553,10665,566,10176,615,241,172,17,31,110,108,26,47,26,43,69,63,5,15,64,62,1747,450,1112,387,0,19,0,19,0,19,0,19,280,187,355,237,218,177,137,185
16000US1749698,"Mitchell, IL",1129,243,1068,234,1023,237,8,14,0,12,0,12,0,12,4,6,33,33,0,12,33,33,61,65,9,14,0,12,0,12,0,12,0,12,10,17,42,68,42,68,0,12
16000US1749802,"Modesto, IL",223,66,223,66,223,66,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1749854,"Mokena, IL",19897,515,19005,487,18258,565,306,192,0,19,177,97,0,19,0,19,264,134,38,60,226,117,892,328,645,323,0,19,6,10,0,19,0,19,50,49,191,131,159,118,32,46
16000US1749867,"Moline, IL",42660,360,35287,753,29256,956,3736,904,41,37,1042,353,8,13,108,115,1096,267,89,76,1007,268,7373,652,3588,536,30,32,90,82,0,25,0,25,2080,478,1585,418,1337,399,248,180
16000US1749893,"Momence, IL",2746,434,2259,365,1821,312,128,99,0,12,14,24,0,12,0,12,296,250,15,22,281,251,487,245,320,186,0,12,0,12,0,12,0,12,77,71,90,93,90,93,0,12
16000US1749945,"Monee, IL",5131,15,4701,163,2880,410,1672,477,8,18,120,127,0,17,0,17,21,29,0,17,21,29,430,164,100,101,0,17,0,17,0,17,0,17,145,207,185,130,169,138,16,29
16000US1750010,"Monmouth, IL",8810,289,7275,292,6198,293,579,206,44,32,221,205,13,28,54,84,166,95,22,36,144,96,1535,97,715,239,1,3,161,149,0,17,36,68,622,208,0,17,0,17,0,17
16000US1750062,"Monroe Center, IL",394,81,380,82,378,82,0,12,0,12,0,12,0,12,0,12,2,5,0,12,2,5,14,12,7,8,0,12,0,12,0,12,0,12,2,3,5,5,4,5,1,2
16000US1750218,"Montgomery, IL",20084,376,14244,1259,12982,1364,766,362,7,14,151,159,31,54,0,22,307,278,0,22,307,278,5840,1275,2057,794,0,22,93,118,0,22,0,22,2239,1191,1451,608,1451,608,0,22
16000US1750244,"Monticello, IL",6202,317,6103,320,5898,360,51,43,0,17,1,4,0,17,43,78,110,100,0,17,110,100,99,48,21,25,0,17,0,17,0,17,0,17,0,17,78,48,40,39,38,51
16000US1750283,"Montrose, IL",222,72,208,72,200,69,1,2,0,12,0,12,0,12,0,12,7,13,0,12,7,13,14,13,4,8,0,12,0,12,0,12,0,12,3,6,7,10,7,10,0,12
16000US1750452,"Moro, IL",461,194,461,194,461,194,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1750491,"Morris, IL",14601,511,13004,555,12149,643,56,25,7,12,90,108,0,19,148,225,554,265,146,134,408,228,1597,352,1023,318,0,19,0,19,0,19,0,19,459,216,115,94,115,94,0,19
