STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
IL|17|52467|02399463|New Grand Chain village|INCORPORATED PLACE|C1|A|Pulaski County
IL|17|52506|02399464|New Haven village|INCORPORATED PLACE|C1|A|Gallatin County~~~White County
IL|17|52545|02399467|New Holland village|INCORPORATED PLACE|C1|A|Logan County
IL|17|52584|02399470|New Lenox village|INCORPORATED PLACE|C1|A|Will County
IL|17|52623|02395226|Newman city|INCORPORATED PLACE|C1|A|Douglas County
IL|17|52701|02399477|New Milford village|INCORPORATED PLACE|C1|A|Winnebago County
IL|17|52714|02399478|New Minden village|INCORPORATED PLACE|C1|A|Washington County
IL|17|52805|02399482|New Salem village|INCORPORATED PLACE|C1|A|Pike County
IL|17|52844|02395228|Newton city|INCORPORATED PLACE|C1|A|Jasper County
IL|17|52961|02399496|Niantic village|INCORPORATED PLACE|C1|A|Macon County
IL|17|53000|02399498|Niles village|INCORPORATED PLACE|C1|A|Cook County
IL|17|53039|02396817|Nilwood town|INCORPORATED PLACE|C1|A|Macoupin County
IL|17|53078|02804091|Niota CDP|CENSUS DESIGNATED PLACE|U1|S|Hancock County
IL|17|53143|02399500|Noble village|INCORPORATED PLACE|C1|A|Richland County
IL|17|53169|02395243|Nokomis city|INCORPORATED PLACE|C1|A|Montgomery County
IL|17|53195|02399501|Nora village|INCORPORATED PLACE|C1|A|Jo Daviess County
IL|17|53234|02396818|Normal town|INCORPORATED PLACE|C1|A|McLean County
IL|17|53377|02399504|Norridge village|INCORPORATED PLACE|C1|A|Cook County
IL|17|53390|02399505|Norris village|INCORPORATED PLACE|C1|A|Fulton County
IL|17|53403|02399506|Norris City village|INCORPORATED PLACE|C1|A|White County
IL|17|53442|02399508|North Aurora village|INCORPORATED PLACE|C1|A|Kane County
IL|17|53455|02399510|North Barrington village|INCORPORATED PLACE|C1|A|Lake County
IL|17|53481|02399526|Northbrook village|INCORPORATED PLACE|C1|A|Cook County
IL|17|53559|02395253|North Chicago city|INCORPORATED PLACE|C1|A|Lake County
IL|17|53585|02399513|North City village|INCORPORATED PLACE|C1|A|Franklin County
IL|17|53663|02399527|Northfield village|INCORPORATED PLACE|C1|A|Cook County
IL|17|53793|02399516|North Henderson village|INCORPORATED PLACE|C1|A|Mercer County
IL|17|53871|02395266|Northlake city|INCORPORATED PLACE|C1|A|Cook County
IL|17|54092|02399520|North Pekin village|INCORPORATED PLACE|C1|A|Tazewell County
IL|17|54144|02399521|North Riverside village|INCORPORATED PLACE|C1|A|Cook County
IL|17|54222|02399524|North Utica village|INCORPORATED PLACE|C1|A|LaSalle County
IL|17|54404|02399530|Norwood village|INCORPORATED PLACE|C1|A|Peoria County
IL|17|54534|02399533|Oak Brook village|INCORPORATED PLACE|C1|A|DuPage County
IL|17|54560|02395286|Oakbrook Terrace city|INCORPORATED PLACE|C1|A|DuPage County
IL|17|54586|02399540|Oakdale village|INCORPORATED PLACE|C1|A|Washington County
IL|17|54625|02399542|Oakford village|INCORPORATED PLACE|C1|A|Menard County
IL|17|54638|02395281|Oak Forest city|INCORPORATED PLACE|C1|A|Cook County
IL|17|54703|02399534|Oak Grove village|INCORPORATED PLACE|C1|A|Rock Island County
IL|17|54781|02395288|Oakland city|INCORPORATED PLACE|C1|A|Coles County
IL|17|54820|02399538|Oak Lawn village|INCORPORATED PLACE|C1|A|Cook County
IL|17|54885|02399539|Oak Park village|INCORPORATED PLACE|C1|A|Cook County
